run,video,detector,conf,frame_index,time_s,count
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,64,320,5
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,65,325,16
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,66,330,17
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,67,335,10
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,68,340,11
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,69,345,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,70,350,16
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,71,355,18
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,72,360,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,73,365,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,74,370,21
